Date,Open,High,Low,Close,Adj Close,Volume,Days
2013-09-19,107.360001,107.43,106.620003,106.980003,93.727135,34775900,1
2013-09-20,107.239998,107.279999,106.550003,106.589996,93.385429,49522500,2
2013-09-23,106.720001,106.870003,105.800003,106.599998,93.394188,47759700,3
2013-09-24,106.459999,107.419998,105.790001,106.669998,93.7043,45267000,4
2013-09-25,106.769997,107.480003,106.330002,106.470001,93.528603,37106600,5
2013-09-26,106.75,107.470001,106.360001,107.059998,94.046913,29490600,6
2013-09-27,106.389999,107.050003,106.209999,106.580002,93.625259,30296400,7
2013-09-30,105.43,106.839996,105.239998,106.610001,93.651588,45771700,8
2013-10-01,106.559998,107.93,106.449997,107.849998,94.740875,39344400,9
2013-10-02,107.089996,107.75,106.849998,107.410004,94.354355,30622900,10
2013-10-03,107.209999,107.360001,105.599998,106.309998,93.388062,57799200,11
2013-10-04,106.339996,107.32,106.150002,107.019997,94.011742,25902800,12
2013-10-07,105.989998,106.660004,105.720001,105.769997,92.913681,32924200,13
2013-10-08,105.839996,106.029999,103.919998,104.059998,91.41153,61365000,14
2013-10-09,104.300003,104.360001,103,103.639999,91.042595,52604900,15
2013-10-10,105.010002,106.309998,104.919998,106.139999,93.238716,53157800,16
2013-10-11,105.839996,107.730003,105.830002,107.68,94.59153,43197100,17
2013-10-14,107.059998,108.349998,106.93,108.220001,95.065903,38774800,18
2013-10-15,107.989998,108.230003,106.919998,107.160004,94.134743,42263500,19
2013-10-16,107.910004,108.599998,107.639999,108.489998,95.303085,34333600,20
2013-10-17,108,109.459999,107.970001,109.440002,96.137581,38967200,21
2013-10-18,110.220001,110.769997,109.830002,110.690002,97.235641,39496400,22
2013-10-21,110.849998,111.080002,110.269997,110.470001,97.042397,29198900,23
2013-10-22,110.949997,111.489998,110.370003,110.760002,97.29718,38112600,24
2013-10-23,110.239998,110.550003,109.769997,110.389999,96.972145,32275300,25
2013-10-24,110.470001,111.260002,110.330002,110.980003,97.490417,24711800,26
2013-10-25,111.239998,111.449997,110.57,111.080002,97.57827,21321900,27
2013-10-28,111.129997,111.290001,110.459999,111.029999,97.534355,22512200,28
2013-10-29,111.330002,111.620003,110.529999,111.349998,97.815475,30026900,29
2013-10-30,111.400002,111.480003,109.519997,109.830002,96.480202,46076600,30
2013-10-31,109.769997,110.18,108.889999,109.190002,95.917984,47370000,31
2013-11-01,109.410004,109.629997,107.919998,108.720001,95.505127,117030400,32
2013-11-04,109.239998,110.150002,108.830002,109.970001,96.60318,31960000,33
2013-11-05,109.550003,109.93,108.860001,109.589996,96.269371,26643500,34
2013-11-06,110.349998,110.370003,108.910004,109.120003,95.856514,31773400,35
2013-11-07,109.620003,109.809998,107.139999,107.279999,94.240158,60459700,36
2013-11-08,107.440002,109.459999,107.389999,109.230003,95.953125,48147500,37
2013-11-11,109.040001,109.599998,108.639999,109.379997,96.084892,19897700,38
2013-11-12,109.07,109.510002,108.669998,109.470001,96.163956,28075100,39
2013-11-13,108.660004,110.550003,108.620003,110.519997,97.086311,36465900,40
2013-11-14,110.470001,110.599998,109.739998,110.410004,96.9897,33226800,41
2013-11-15,110.599998,110.989998,110.160004,110.830002,97.358635,27518500,42
2013-11-18,111.32,111.419998,109.75,110.050003,96.67347,35509600,43
2013-11-19,110.110001,110.690002,108.989998,109.370003,96.076118,36081300,44
2013-11-20,109.93,110.199997,108.849998,109.330002,96.040977,43376700,45
2013-11-21,109.809998,111.360001,109.68,111.300003,97.771523,45585000,46
2013-11-22,111.290001,111.970001,111.099998,111.849998,98.254654,28786400,47
2013-11-25,112.129997,112.279999,111.629997,111.989998,98.377678,22968600,48
2013-11-26,111.989998,113.019997,111.900002,112.82,99.106781,30760700,49
2013-11-27,112.839996,113.57,112.639999,113.449997,99.66021,29099600,50
2013-11-29,113.940002,114.160004,113.449997,113.510002,99.712898,15675500,51
2013-12-02,113.699997,113.760002,112.059998,112.370003,98.711487,43155200,52
2013-12-03,112.129997,112.599998,111.269997,111.830002,98.237099,36930700,53
2013-12-04,111.309998,112.419998,110.370003,111.529999,97.973564,40609500,54
2013-12-05,111.489998,112.019997,111.150002,111.610001,98.043861,37926700,55
2013-12-06,112.620003,113.099998,112.190002,112.480003,98.80806,36471900,56
2013-12-09,112.629997,112.889999,111.889999,112.449997,98.781738,31236500,57
