YEAR,Car_Age,MILEAGE,CAR_PRICE
2023,0,0,17645
2020,3,17905, 17497
2019,4,25405,19998
2016,7,51695,14000
2007,16,218688,3695
2013,10,64959,9200
2011,12,95194,7599
2015,8,83291,9909
2017,6,105305,9995
2014,9,104552,10998
2018,5,22931,18997
2022,1,10742,22287
2021,2,40580,19988
