Date,Open,High,Low,Close,Adj Close,Volume
2013-09-19,107.360001,107.430000,106.620003,106.980003,93.727135,34775900
2013-09-20,107.239998,107.279999,106.550003,106.589996,93.385429,49522500
2013-09-23,106.720001,106.870003,105.800003,106.599998,93.394188,47759700
2013-09-24,106.459999,107.419998,105.790001,106.669998,93.704300,45267000
2013-09-25,106.769997,107.480003,106.330002,106.470001,93.528603,37106600
2013-09-26,106.750000,107.470001,106.360001,107.059998,94.046913,29490600
2013-09-27,106.389999,107.050003,106.209999,106.580002,93.625259,30296400
2013-09-30,105.430000,106.839996,105.239998,106.610001,93.651588,45771700
2013-10-01,106.559998,107.930000,106.449997,107.849998,94.740875,39344400
2013-10-02,107.089996,107.750000,106.849998,107.410004,94.354355,30622900
2013-10-03,107.209999,107.360001,105.599998,106.309998,93.388062,57799200
2013-10-04,106.339996,107.320000,106.150002,107.019997,94.011742,25902800
2013-10-07,105.989998,106.660004,105.720001,105.769997,92.913681,32924200
2013-10-08,105.839996,106.029999,103.919998,104.059998,91.411530,61365000
2013-10-09,104.300003,104.360001,103.000000,103.639999,91.042595,52604900
2013-10-10,105.010002,106.309998,104.919998,106.139999,93.238716,53157800
2013-10-11,105.839996,107.730003,105.830002,107.680000,94.591530,43197100
2013-10-14,107.059998,108.349998,106.930000,108.220001,95.065903,38774800
2013-10-15,107.989998,108.230003,106.919998,107.160004,94.134743,42263500
2013-10-16,107.910004,108.599998,107.639999,108.489998,95.303085,34333600
2013-10-17,108.000000,109.459999,107.970001,109.440002,96.137581,38967200
2013-10-18,110.220001,110.769997,109.830002,110.690002,97.235641,39496400
2013-10-21,110.849998,111.080002,110.269997,110.470001,97.042397,29198900
2013-10-22,110.949997,111.489998,110.370003,110.760002,97.297180,38112600
2013-10-23,110.239998,110.550003,109.769997,110.389999,96.972145,32275300
2013-10-24,110.470001,111.260002,110.330002,110.980003,97.490417,24711800
2013-10-25,111.239998,111.449997,110.570000,111.080002,97.578270,21321900
2013-10-28,111.129997,111.290001,110.459999,111.029999,97.534355,22512200
2013-10-29,111.330002,111.620003,110.529999,111.349998,97.815475,30026900
2013-10-30,111.400002,111.480003,109.519997,109.830002,96.480202,46076600
2013-10-31,109.769997,110.180000,108.889999,109.190002,95.917984,47370000
2013-11-01,109.410004,109.629997,107.919998,108.720001,95.505127,117030400
2013-11-04,109.239998,110.150002,108.830002,109.970001,96.603180,31960000
2013-11-05,109.550003,109.930000,108.860001,109.589996,96.269371,26643500
2013-11-06,110.349998,110.370003,108.910004,109.120003,95.856514,31773400
2013-11-07,109.620003,109.809998,107.139999,107.279999,94.240158,60459700
2013-11-08,107.440002,109.459999,107.389999,109.230003,95.953125,48147500
2013-11-11,109.040001,109.599998,108.639999,109.379997,96.084892,19897700
2013-11-12,109.070000,109.510002,108.669998,109.470001,96.163956,28075100
2013-11-13,108.660004,110.550003,108.620003,110.519997,97.086311,36465900
2013-11-14,110.470001,110.599998,109.739998,110.410004,96.989700,33226800
2013-11-15,110.599998,110.989998,110.160004,110.830002,97.358635,27518500
2013-11-18,111.320000,111.419998,109.750000,110.050003,96.673470,35509600
2013-11-19,110.110001,110.690002,108.989998,109.370003,96.076118,36081300
2013-11-20,109.930000,110.199997,108.849998,109.330002,96.040977,43376700
2013-11-21,109.809998,111.360001,109.680000,111.300003,97.771523,45585000
2013-11-22,111.290001,111.970001,111.099998,111.849998,98.254654,28786400
2013-11-25,112.129997,112.279999,111.629997,111.989998,98.377678,22968600
